phi,theta
-7.2477E-05,0.090352
-7.1118E-05,0.09071
-6.9774E-05,0.091068
-6.8444E-05,0.091425
-6.7129E-05,0.091783
-6.5829E-05,0.09214
-6.4544E-05,0.092498
-6.3274E-05,0.092855
-6.2019E-05,0.093212
-6.0779E-05,0.09357
-5.9554E-05,0.093927
-5.8345E-05,0.094284
-5.715E-05,0.094642
-5.5971E-05,0.094999
-5.4808E-05,0.095356
-5.3659E-05,0.095713
-5.2525E-05,0.096071
-5.1407E-05,0.096428
-5.0304E-05,0.096785
-4.9216E-05,0.097142
-4.8143E-05,0.097499
-4.7086E-05,0.097856
-4.6043E-05,0.098213
-4.5015E-05,0.09857
-4.4002E-05,0.098927
-4.3004E-05,0.099284
-4.2021E-05,0.099641
-4.1052E-05,0.099998
-4.0098E-05,0.10035
-3.9159E-05,0.10071
-3.8234E-05,0.10107
-3.7323E-05,0.10143
-3.6427E-05,0.10178
-3.5545E-05,0.10214
-3.4676E-05,0.1025
-3.3822E-05,0.10285
-3.2982E-05,0.10321
-3.2156E-05,0.10357
-3.1343E-05,0.10392
-3.0543E-05,0.10428
-2.9757E-05,0.10464
-2.8985E-05,0.10499
-2.8225E-05,0.10535
-2.7479E-05,0.10571
-2.6746E-05,0.10606
-2.6025E-05,0.10642
-2.5317E-05,0.10678
-2.4622E-05,0.10713
-2.3939E-05,0.10749
-2.3268E-05,0.10785
-2.2609E-05,0.1082
-2.1963E-05,0.10856
-2.1328E-05,0.10892
-2.0706E-05,0.10927
-2.0095E-05,0.10963
-1.9495E-05,0.10999
-1.8907E-05,0.11034
-1.833E-05,0.1107
-1.7764E-05,0.11106
-1.7209E-05,0.11141
-1.6664E-05,0.11177
-1.6131E-05,0.11212
-1.5608E-05,0.11248
-1.5095E-05,0.11284
-1.4593E-05,0.11319
-1.4101E-05,0.11355
-1.3618E-05,0.11391
-1.3146E-05,0.11426
-1.2684E-05,0.11462
-1.223E-05,0.11498
-1.1787E-05,0.11533
-1.1353E-05,0.11569
-1.0927E-05,0.11605
-1.0511E-05,0.1164
-1.0104E-05,0.11676
-9.7058E-06,0.11712
-9.3161E-06,0.11747
-8.9349E-06,0.11783
-8.562E-06,0.11818
-8.1974E-06,0.11854
-7.841E-06,0.1189
-7.4925E-06,0.11925
-7.1519E-06,0.11961
-6.819E-06,0.11997
-6.4938E-06,0.12032
-6.1761E-06,0.12068
-5.8657E-06,0.12104
-5.5626E-06,0.12139
-5.2665E-06,0.12175
-4.9775E-06,0.12211
-4.6954E-06,0.12246
-4.4201E-06,0.12282
-4.1514E-06,0.12317
-3.8892E-06,0.12353
-3.6335E-06,0.12389
-3.3841E-06,0.12424
-3.1408E-06,0.1246
-2.9037E-06,0.12496
-2.6725E-06,0.12531
-2.4472E-06,0.12567
-2.2276E-06,0.12603
-2.0137E-06,0.12638
-1.8053E-06,0.12674
-1.6024E-06,0.1271
-1.4048E-06,0.12745
-1.2124E-06,0.12781
