phi,theta
0.01,0
0.01,0
0.009892,-0.00016302
0.0098232,-0.00035668
0.0098305,-0.00054418
0.0099187,-0.00071711
0.010084,-0.00087527
0.010321,-0.0010206
0.010625,-0.0011554
0.010992,-0.0012818
0.011419,-0.0014019
0.011903,-0.0015172
0.012443,-0.0016294
0.013038,-0.0017397
0.013688,-0.0018493
0.014392,-0.0019592
0.015151,-0.0020704
0.015967,-0.0021838
0.016841,-0.0023
0.017775,-0.0024199
0.01877,-0.0025442
0.01983,-0.0026734
0.020957,-0.0028083
0.022154,-0.0029495
0.023424,-0.0030975
0.024772,-0.003253
0.026201,-0.0034166
0.027716,-0.003589
0.029322,-0.0037707
0.031022,-0.0039625
0.032823,-0.004165
0.03473,-0.0043789
0.03675,-0.004605
0.038887,-0.0048441
0.041151,-0.0050969
0.043546,-0.0053644
0.046082,-0.0056474
0.048765,-0.005947
0.051605,-0.006264
0.054611,-0.0065997
0.057792,-0.0069551
0.061158,-0.0073315
0.06472,-0.0077301
0.068489,-0.0081524
0.072477,-0.0085998
0.076697,-0.0090739
0.081161,-0.0095763
0.085885,-0.010109
0.090882,-0.010674
0.096168,-0.011272
0.10176,-0.011907
0.10768,-0.012581
0.11393,-0.013296
0.12055,-0.014056
0.12755,-0.014862
0.13495,-0.015719
0.14277,-0.016629
0.15104,-0.017597
0.15979,-0.018627
0.16903,-0.019724
0.1788,-0.020892
0.18912,-0.022136
0.20002,-0.023464
0.21154,-0.024881
0.2237,-0.026394
0.23653,-0.028012
0.25008,-0.029744
0.26438,-0.031598
0.27945,-0.033587
0.29535,-0.03572
0.3121,-0.038012
0.32975,-0.040477
0.34833,-0.043131
0.36788,-0.04599
0.38845,-0.049074
0.41006,-0.052404
0.43277,-0.056002
0.4566,-0.059893
0.48159,-0.064104
0.50778,-0.068662
0.5352,-0.073598
0.56388,-0.078945
0.59385,-0.084736
0.62513,-0.091006
0.65774,-0.097792
0.69171,-0.10513
0.72704,-0.11306
0.76375,-0.12162
0.80185,-0.13084
0.84133,-0.14077
0.88219,-0.15142
0.92442,-0.16285
0.96803,-0.17506
1.013,-0.18809
1.0593,-0.20196
1.1069,-0.21668
1.1558,-0.23226
1.206,-0.2487
1.2574,-0.266
1.3101,-0.28415
1.3639,-0.30314
1.419,-0.32293
1.4751,-0.34352
1.5325,-0.36485
1.5909,-0.38688
1.6,-0.40958
1.6,-0.43287
1.6,-0.45673
1.6,-0.48112
1.6,-0.50601
1.6,-0.53138
1.6,-0.55719
1.6,-0.58344
1.6,-0.6101
1.6,-0.63716
1.6,-0.6646
